title,href,full_url
Komplikasi apa yang bisa terjadi pada ibu hamil dengan ISK?,/komunitas/topic/komplikasi-apa-yang-bisa-terjadi-pada-ibu-hamil-dengan-isk-,https://www.alodokter.com/komunitas/topic/komplikasi-apa-yang-bisa-terjadi-pada-ibu-hamil-dengan-isk-
Apa yang menyebabkan tenggorokan terasa kering saat bangun tidur pada ibu hamil?,/komunitas/topic/apa-yang-menyebabkan-tenggorokan-terasa-kering-saat-bangun-tidur-pada,https://www.alodokter.com/komunitas/topic/apa-yang-menyebabkan-tenggorokan-terasa-kering-saat-bangun-tidur-pada
Apakah wajar merasa cemas berlebihan jelang persalinan?,/komunitas/topic/apakah-wajar-merasa-cemas-berlebihan-jelang-persalinan-,https://www.alodokter.com/komunitas/topic/apakah-wajar-merasa-cemas-berlebihan-jelang-persalinan-
Bagaimana cara aman atasi tenggorokan sakit pada ibu hamil?,/komunitas/topic/bagaimana-cara-aman-atasi-tenggorokan-sakit-pada-ibu-hamil-,https://www.alodokter.com/komunitas/topic/bagaimana-cara-aman-atasi-tenggorokan-sakit-pada-ibu-hamil-
Rekomendasi pola makan sehat untuk hipertensi gestasional,/komunitas/topic/rekomendasi-pola-makan-sehat-untuk-hipertensi-gestasional,https://www.alodokter.com/komunitas/topic/rekomendasi-pola-makan-sehat-untuk-hipertensi-gestasional
Kenapa obesitas saat hamil kembar berbahaya untuk janin?,/komunitas/topic/kenapa-obesitas-saat-hamil-kembar-berbahaya-untuk-janin-,https://www.alodokter.com/komunitas/topic/kenapa-obesitas-saat-hamil-kembar-berbahaya-untuk-janin-
Kenapa ibu hamil mudah ngompol saat batuk atau bersin?,/komunitas/topic/kenapa-ibu-hamil-mudah-ngompol-saat-batuk-atau-bersin-,https://www.alodokter.com/komunitas/topic/kenapa-ibu-hamil-mudah-ngompol-saat-batuk-atau-bersin-
Apa manfaat USG mata untuk bumil dengan riwayat preeklampsia?,/komunitas/topic/apa-manfaat-usg-mata-untuk-bumil-dengan-riwayat-preeklampsia-,https://www.alodokter.com/komunitas/topic/apa-manfaat-usg-mata-untuk-bumil-dengan-riwayat-preeklampsia-
Apa kenaikan berat badan cepat saat hamil kembar normal?,/komunitas/topic/apa-kenaikan-berat-badan-cepat-saat-hamil-kembar-normal-,https://www.alodokter.com/komunitas/topic/apa-kenaikan-berat-badan-cepat-saat-hamil-kembar-normal-
Berapa kali ibu hamil harus cek gula darah?,/komunitas/topic/-berapa-kali-ibu-hamil-harus-cek-gula-darah--,https://www.alodokter.com/komunitas/topic/-berapa-kali-ibu-hamil-harus-cek-gula-darah--
Apa itu tes TTGO pada ibu hamil?,/komunitas/topic/-apa-itu-tes-ttgo-pada-ibu-hamil--,https://www.alodokter.com/komunitas/topic/-apa-itu-tes-ttgo-pada-ibu-hamil--
Apakah gula darah 80 mg/dl sebabkan pusing saat hamil?,/komunitas/topic/apakah-gula-darah-80-mg-dl-sebabkan-pusing-saat-hamil-,https://www.alodokter.com/komunitas/topic/apakah-gula-darah-80-mg-dl-sebabkan-pusing-saat-hamil-
"Tekanan darah naik di trimester 3 kehamilan,  apakah ini termasuk hipertensi gestasional?",/komunitas/topic/tekanan-darah-naik-di-trimester-3-kehamilan---apakah-ini-termasuk,https://www.alodokter.com/komunitas/topic/tekanan-darah-naik-di-trimester-3-kehamilan---apakah-ini-termasuk
Mengapa ibu hamil mudah cemas saat kontrol kehamilan?,/komunitas/topic/mengapa-ibu-hamil-mudah-cemas-saat-kontrol-kehamilan-,https://www.alodokter.com/komunitas/topic/mengapa-ibu-hamil-mudah-cemas-saat-kontrol-kehamilan-
Benarkah stres ibu hamil pengaruhi perilaku bayi?,/komunitas/topic/benarkah-stres-ibu-hamil-pengaruhi-perilaku-bayi-,https://www.alodokter.com/komunitas/topic/benarkah-stres-ibu-hamil-pengaruhi-perilaku-bayi-
Benarkah garis hitam di perut tanda anak laki-laki?,/komunitas/topic/-benarkah-garis-hitam-di-perut-tanda-anak-laki-laki--,https://www.alodokter.com/komunitas/topic/-benarkah-garis-hitam-di-perut-tanda-anak-laki-laki--
Faktor apa yang memengaruhi perbedaan gejala hamil muda?,/komunitas/topic/faktor-apa-yang-memengaruhi-perbedaan-gejala-hamil-muda-,https://www.alodokter.com/komunitas/topic/faktor-apa-yang-memengaruhi-perbedaan-gejala-hamil-muda-
Kapan garis hitam di perut akan memudar setelah melahirkan?,/komunitas/topic/kapan-garis-hitam-di-perut-akan-memudar-setelah-melahirkan-,https://www.alodokter.com/komunitas/topic/kapan-garis-hitam-di-perut-akan-memudar-setelah-melahirkan-
Kenapa muncul garis hitam di perut saat hamil?,/komunitas/topic/kenapa-muncul-garis-hitam-di-perut-saat-hamil--,https://www.alodokter.com/komunitas/topic/kenapa-muncul-garis-hitam-di-perut-saat-hamil--
Apakah kulit leher menggelap saat hamil itu normal?,/komunitas/topic/apakah-kulit-leher-menggelap-saat-hamil-itu-normal--,https://www.alodokter.com/komunitas/topic/apakah-kulit-leher-menggelap-saat-hamil-itu-normal--
Apakah yoga kehamilan grup bisa kurangi stres?,/komunitas/topic/apakah-yoga-kehamilan-grup-bisa-kurangi-stres-,https://www.alodokter.com/komunitas/topic/apakah-yoga-kehamilan-grup-bisa-kurangi-stres-
Makanan apa yang dapat pendukung penyerapan suplemen kalsium pada ibu hamil?,/komunitas/topic/makanan-apa-yang-dapat-pendukung-penyerapan-suplemen-kalsium-pada-ibu,https://www.alodokter.com/komunitas/topic/makanan-apa-yang-dapat-pendukung-penyerapan-suplemen-kalsium-pada-ibu
Apakah keluar cairan dari payudara saat hamil wajar?,/komunitas/topic/apakah-keluar-cairan-dari-payudara-saat-hamil-wajar-,https://www.alodokter.com/komunitas/topic/apakah-keluar-cairan-dari-payudara-saat-hamil-wajar-
Apakah perlu melakukan tes lanjutan jika  hasil NIPT dan fetomaternal tidak sama?,/komunitas/topic/apakah-perlu-melakukan-tes-lanjutan-jika--hasil-nipt-dan-fetomaternal,https://www.alodokter.com/komunitas/topic/apakah-perlu-melakukan-tes-lanjutan-jika--hasil-nipt-dan-fetomaternal
Vaksin apa saja yang disarankan untuk ibu hamil?,/komunitas/topic/vaksin-apa-saja-yang-disarankan-untuk-ibu-hamil-,https://www.alodokter.com/komunitas/topic/vaksin-apa-saja-yang-disarankan-untuk-ibu-hamil-
Risiko apa saja yang bisa dideteksi tes NIPT?,/komunitas/topic/risiko-apa-saja-yang-bisa-dideteksi-tes-nipt-,https://www.alodokter.com/komunitas/topic/risiko-apa-saja-yang-bisa-dideteksi-tes-nipt-
Apa saja risiko komplikasi kehamilan pada ibu hamil dengan obesitas?,/komunitas/topic/apa-saja-risiko-komplikasi-kehamilan-pada-ibu-hamil-dengan-obesitas-,https://www.alodokter.com/komunitas/topic/apa-saja-risiko-komplikasi-kehamilan-pada-ibu-hamil-dengan-obesitas-
Apa saja tips babymoon untuk kehamilan kembar?,/komunitas/topic/apa-saja-tips-babymoon-untuk-kehamilan-kembar-,https://www.alodokter.com/komunitas/topic/apa-saja-tips-babymoon-untuk-kehamilan-kembar-
Mengapa ibu hamil sering merasa gerah dan sulit tidur malam hari?,/komunitas/topic/mengapa-ibu-hamil-sering-merasa-gerah-dan-sulit-tidur-malam,https://www.alodokter.com/komunitas/topic/mengapa-ibu-hamil-sering-merasa-gerah-dan-sulit-tidur-malam
Apa penyebab perut bawah terasa kencang dan nyeri di malam hari saat hamil 19 minggu?,/komunitas/topic/apa-penyebab-perut-bawah-terasa-kencang-dan-nyeri-di-malam,https://www.alodokter.com/komunitas/topic/apa-penyebab-perut-bawah-terasa-kencang-dan-nyeri-di-malam
Apa saja risiko komplikasi kehamilan pada ibu hamil dengan obesitas?,/komunitas/topic/apa-saja-risiko-komplikasi-kehamilan-pada-ibu-hamil-dengan-obesitas-,https://www.alodokter.com/komunitas/topic/apa-saja-risiko-komplikasi-kehamilan-pada-ibu-hamil-dengan-obesitas-
Apa saja tips babymoon untuk kehamilan kembar?,/komunitas/topic/apa-saja-tips-babymoon-untuk-kehamilan-kembar-,https://www.alodokter.com/komunitas/topic/apa-saja-tips-babymoon-untuk-kehamilan-kembar-
Mengapa ibu hamil sering merasa gerah dan sulit tidur malam hari?,/komunitas/topic/mengapa-ibu-hamil-sering-merasa-gerah-dan-sulit-tidur-malam,https://www.alodokter.com/komunitas/topic/mengapa-ibu-hamil-sering-merasa-gerah-dan-sulit-tidur-malam
Apa penyebab perut bawah terasa kencang dan nyeri di malam hari saat hamil 19 minggu?,/komunitas/topic/apa-penyebab-perut-bawah-terasa-kencang-dan-nyeri-di-malam,https://www.alodokter.com/komunitas/topic/apa-penyebab-perut-bawah-terasa-kencang-dan-nyeri-di-malam
Kenapa gejala hamil bisa berubah tiap kehamilan?,/komunitas/topic/kenapa-gejala-hamil-bisa-berubah-tiap-kehamilan-,https://www.alodokter.com/komunitas/topic/kenapa-gejala-hamil-bisa-berubah-tiap-kehamilan-
Bisakah PMS menular ke janin saat hamil?,/komunitas/topic/bisakah-pms-menular-ke-janin-saat-hamil-,https://www.alodokter.com/komunitas/topic/bisakah-pms-menular-ke-janin-saat-hamil-
Apakah hamil tanpa mual tanda hormon rendah?,/komunitas/topic/apakah-hamil-tanpa-mual-tanda-hormon-rendah-,https://www.alodokter.com/komunitas/topic/apakah-hamil-tanpa-mual-tanda-hormon-rendah-
